date,high,low,open,close,volume,quoteVolume,weightedAverage
2017-01-17 08:00:00,893.5,870.4,880.000005,874,584422.2506,661.052036,884.079042
2017-01-17 12:00:00,884.99,867.08,871.9900009,879.1699993,422881.6372,481.9730586,877.3968372
2017-01-17 16:00:00,907,875.9159745,879.1699982,905.31111,641000.0273,715.1045265,896.3724931
2017-01-17 20:00:00,908.5301777,891.11,905.9659406,902.7000007,361616.1729,400.890662,902.0319185
2017-01-18 00:00:00,912,880,902.2757934,888.85,464398.262,517.6008471,897.2131027
2017-01-18 04:00:00,900.805211,888.780011,888.780011,893,170074.1892,189.5743189,897.1372822
2017-01-18 08:00:00,900.4912558,881.1415926,894.499999,898.164789,211630.7465,237.6419637,890.5445117
2017-01-18 12:00:00,900,850,898.164789,872.5999997,751805.8207,865.9514381,868.1847361
2017-01-18 16:00:00,876.9487,862.02,872.5999991,870.2229977,207955.0039,238.5233372,871.8434281
2017-01-18 20:00:00,889.0000004,864,870.2229983,886.2000003,153999.3273,176.2225822,873.8909925
2017-01-19 00:00:00,899.98,883.3,886.2000005,894.269,262257.8379,293.6750229,893.0205751
2017-01-19 04:00:00,894.269,886.2499111,894.269,889.4999972,103372.9877,116.2178448,889.4760341
2017-01-19 08:00:00,897.12,885.0000014,889.4999899,887,207167.9327,232.2492631,892.006846
2017-01-19 12:00:00,894.2,886.38,886.3800007,892.0488321,130543.9016,146.6417812,890.2231042
2017-01-19 16:00:00,904.8620004,892.01,894,901.5000001,269461.9212,299.7538738,898.9439163
2017-01-19 20:00:00,906.999999,891.1,901.5000001,900.2324004,246307.8069,273.3880678,900.9457103
2017-01-20 00:00:00,902,895,900.3,899,109380.1357,121.7461459,898.4279124
2017-01-20 04:00:00,900.3068829,886.53,900.3068829,896.9,181497.8553,203.6019601,891.434715
2017-01-20 08:00:00,897.9999986,882.5432,896.7524133,891.7799979,175161.8422,196.7934391,890.0796849
2017-01-20 12:00:00,900,890.4285856,891.77999,899.75,163839.0803,182.6935657,896.797212
2017-01-20 16:00:00,902.43,895,899.4314929,898.6200054,113023.4564,125.8146894,898.3327541
2017-01-20 20:00:00,902,893.53,898.6200054,895,98862.76211,110.1742567,897.3308746
2017-01-21 00:00:00,922.4348548,894,895.0997114,921.6886034,378585.6258,414.9794578,912.2996782
2017-01-21 04:00:00,924,908.2,921.0000002,917.9625011,290279.4917,316.8661863,916.0948823
2017-01-21 08:00:00,926.99999,915.0782038,917.9625011,923,167409.1283,181.7782079,920.952683
2017-01-21 12:00:00,928,918.76,923,921,244710.8267,264.9613516,923.5717784
2017-01-21 16:00:00,924.0476169,916.5000001,921,921.9,235414.1018,255.7272666,920.5670748
2017-01-21 20:00:00,928.5184939,920.3979017,921.8999996,925.706,81484.81789,88.04578252,925.482352
2017-01-22 00:00:00,939.0607105,925.406,925.706,936.1281275,232743.336,249.1448378,934.1688073
2017-01-22 04:00:00,938.9860271,931,938,936.000001,84760.65457,90.72389989,934.2704036
2017-01-22 08:00:00,938,925.826665,936.000001,932.0508458,205458.5687,220.8734939,930.2092574
2017-01-22 12:00:00,931.8664701,894.1001001,931.0000021,912.5,728604.2096,801.5122697,909.0368758
2017-01-22 16:00:00,920,910.6356511,912.5,911.9093373,190526.1102,208.1537984,915.3141169
2017-01-22 20:00:00,924.1193996,911.7000009,911.7000009,924.1193996,125077.1765,136.0261292,919.5084594
2017-01-23 00:00:00,926,913.49,923.99,922.9999951,142717.6988,154.914354,921.2683984
2017-01-23 04:00:00,922,917,921,922,66152.0094,71.9773506,919.0670239
2017-01-23 08:00:00,924,918.29545,919.5300004,924,86682.72254,94.06412132,921.5280101
2017-01-23 12:00:00,927.2351,914.1762575,924,919.0876505,881088.7618,958.783343,918.9654453
2017-01-23 16:00:00,921.999,912.49,917.1000025,917.9041945,142668.6405,155.4301196,917.8957133
2017-01-23 20:00:00,922,912.22165,916.0400007,912.22165,105995.366,115.5213299,917.5393507
2017-01-24 00:00:00,913.8383069,891.3134736,912.22165,912.2999891,695366.0575,771.0976855,901.7872451
